subj_idx,species,coh,rt,response,subjectID
238,human,0.02,0.547141,1,459
238,human,0.08,0.764304,1,459
238,human,0.02,0.580652,1,459
238,human,0.02,0.59742,1,459
238,human,0.04,0.91423,1,459
238,human,0.02,2.51285,1,459
238,human,0.08,0.663989,1,459
238,human,0.12,0.580499,1,459
238,human,0.16,0.597189,1,459
238,human,0.04,1.863373,1,459
238,human,0.06,0.747094,1,459
238,human,0.24,0.580761,1,459
238,human,0.12,0.64694,1,459
238,human,0.02,3.163185,1,459
238,human,0.08,1.180429,1,459
238,human,0.04,0.963815,1,459
238,human,0.08,0.680681,1,459
238,human,0.08,0.564115,1,459
238,human,0.06,0.730361,1,459
238,human,0.08,1.313885,1,459
238,human,0.06,0.531144,1,459
238,human,0.16,0.630538,1,459
238,human,0.04,0.597082,1,459
238,human,0.02,2.796061,0,459
238,human,0.06,1.014232,1,459
238,human,0.12,0.630345,1,459
238,human,0.04,0.930544,1,459
238,human,0.06,0.963556,1,459
238,human,0.32,0.530481,1,459
238,human,0.06,0.547178,1,459
238,human,0.12,0.681013,1,459
238,human,0.02,1.430042,1,459
238,human,0.06,0.580436,1,459
238,human,0.06,0.93025,1,459
238,human,0.08,0.814324,1,459
238,human,0.12,0.59777,1,459
238,human,0.24,0.630482,1,459
238,human,0.16,0.497209,1,459
238,human,0.02,3.928778,1,459
238,human,0.16,0.664346,1,459
238,human,0.32,0.513759,1,459
238,human,0.08,0.597317,1,459
238,human,0.08,0.813916,1,459
238,human,0.08,0.714363,1,459
238,human,0.06,0.697538,1,459
238,human,0.02,1.280042,0,459
238,human,0.06,0.631071,1,459
238,human,0.12,0.580445,1,459
238,human,0.12,0.514055,1,459
238,human,0.12,0.530493,1,459
238,human,0.12,0.514266,1,459
238,human,0.12,0.780697,1,459
238,human,0.02,0.597431,0,459
238,human,0.16,0.61422,1,459
238,human,0.08,0.480543,1,459
238,human,0.08,0.547266,1,459
238,human,0.02,1.813476,1,459
238,human,0.12,0.680551,1,459
238,human,0.12,0.54732,1,459
238,human,0.06,1.263488,1,459
238,human,0.16,0.780524,1,459
238,human,0.08,0.497602,1,459
238,human,0.12,0.564101,1,459
238,human,0.06,1.863161,1,459
238,human,0.02,2.429602,1,459
238,human,0.16,0.980521,1,459
238,human,0.32,0.697735,1,459
238,human,0.12,0.947564,1,459
238,human,0.08,1.230272,1,459
238,human,0.04,1.530008,1,459
238,human,0.06,0.681004,1,459
238,human,0.12,0.480668,1,459
238,human,0.32,0.647489,1,459
238,human,0.12,0.747336,1,459
238,human,0.12,0.497416,1,459
238,human,0.12,0.668834,1,459
238,human,0.16,0.513534,1,459
238,human,0.02,1.896494,1,459
238,human,0.02,1.879965,1,459
238,human,0.06,0.680706,1,459
238,human,0.02,1.430139,1,459
238,human,0.16,0.580687,1,459
238,human,0.08,0.647161,1,459
238,human,0.02,2.013318,1,459
