subj_idx,species,coh,rt,response,subjectID
8,rat,0.7,0.62753,0,381
8,rat,0.6,0.737527,1,381
8,rat,0.8,0.7875,1,381
8,rat,0.9,0.78753,1,381
8,rat,0.9,0.687533,1,381
8,rat,1,1.267513,1,381
8,rat,0.6,0.727544,1,381
8,rat,0.8,0.707495,1,381
8,rat,0.6,0.927539,0,381
8,rat,0.6,0.647625,1,381
8,rat,0.7,0.617596,0,381
8,rat,1,1.00749,1,381
8,rat,0.6,0.987536,1,381
8,rat,0.6,0.577503,0,381
8,rat,0.7,0.617543,1,381
8,rat,1,0.687455,1,381
8,rat,0.6,0.947528,1,381
8,rat,0.9,1.007487,1,381
8,rat,1,0.887531,0,381
8,rat,0.8,0.567326,0,381
8,rat,0.9,0.637452,1,381
8,rat,0.7,0.827475,1,381
8,rat,0.6,0.557558,1,381
8,rat,0.6,0.807567,1,381
8,rat,0.6,0.947448,0,381
8,rat,1,0.847553,1,381
8,rat,0.8,0.647485,0,381
8,rat,0.6,0.667566,1,381
8,rat,0.7,0.877433,1,381
8,rat,0.8,1.047481,1,381
8,rat,0.8,1.977406,1,381
8,rat,1,0.777523,1,381
8,rat,0.6,1.167439,1,381
8,rat,0.8,1.177486,1,381
8,rat,0.9,1.357519,1,381
8,rat,0.7,0.827455,1,381
8,rat,0.6,1.607468,1,381
8,rat,0.9,0.967542,1,381
8,rat,0.7,0.737591,1,381
8,rat,0.6,0.78755,1,381
8,rat,0.9,1.097499,1,381
8,rat,1,0.927505,1,381
8,rat,0.8,0.507461,1,381
8,rat,0.8,0.487489,1,381
8,rat,0.9,0.497506,0,381
8,rat,0.7,0.487556,1,381
8,rat,0.8,1.257485,1,381
8,rat,0.9,0.737611,1,381
8,rat,0.9,0.507496,1,381
8,rat,0.8,0.637597,1,381
8,rat,0.6,0.657522,0,381
8,rat,0.9,0.497426,0,381
8,rat,1,0.877527,1,381
8,rat,0.9,0.947521,0,381
8,rat,0.8,0.767508,1,381
8,rat,0.9,0.647458,1,381
8,rat,0.8,0.627553,1,381
8,rat,0.6,0.757573,1,381
8,rat,0.6,0.557538,0,381
8,rat,0.9,0.743427,1,381
8,rat,1,0.827426,1,381
8,rat,0.9,0.927499,1,381
